name,emoji,category,price,unit,image_url,group_key,in_stock,featured,sort_order,id
Anil Samiya,,Quick meals,20,per cup,,Anil Samiya,true,false,249,249
Ragi Samiya,,Quick meals,25,per pack,,Ragi Samiya,true,false,250,250
Savarot pasta,,Quick meals,10,per pack,,Savarot pasta,true,false,251,251
Yippee pasta (Cheese),,Quick meals,10,per pack,,Yippee pasta (Cheese),true,false,252,252
Yippee pasta (C),,Quick meals,10,per pack,,Yippee pasta (C),true,false,253,253
Tomato sauce,,Quick meals,15,per pack,,Tomato sauce,true,false,254,254
Red chilli sauce,,Quick meals,25,per pack,,Red chilli sauce,true,false,255,255
Soya sauce,,Quick meals,25,per pack,,Soya sauce,true,false,256,256
Green chilli sauce,,Quick meals,25,per pack,,Green chilli sauce,true,false,257,257
Tomato,,Vegetables,25,per kg,,Tomato,true,false,258,258
Onion,,Vegetables,60,per kg,,Onion,true,false,259,259
Beans,,Vegetables,90,per kg,,Beans,true,false,260,260
Carrot,,Vegetables,90,per kg,,Carrot,true,false,261,261
Beetroot,,Vegetables,100,per kg,,Beetroot,true,false,262,262
